=== MineShare log bundle ===
host:        LAPTOP-4E1649F3-windows
os:          windows
arch:        x86_64
collected:   2026-05-07T11:47:51.7758577Z
daemon ver:  0.0.1
log dir:     C:\Users\ASUS\AppData\Roaming\MineShare\logs
device id:   5a2243ef-0e6a-4b7b-ab20-1e40f4dea3c4
display:     LAPTOP-4E1649F3
local addrs: [192.168.1.108]

=== Daemon log (most recent first) ===

--- C:\Users\ASUS\AppData\Roaming\MineShare\logs\daemon.2026-05-07 (61540 bytes) ---
4 sent_bytes=3348 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:16:09.115050Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=109 sent_bytes=2943 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:16:10.126134Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=9 sent_bytes=243 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:16:12.121203Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=2 sent_bytes=54 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:16:58.114752Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=103 sent_bytes=2781 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:16:59.117211Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=200 sent_bytes=5400 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:17:00.117451Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=141 sent_bytes=3807 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:17:01.114866Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=101 sent_bytes=2727 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:17:02.121728Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=136 sent_bytes=3672 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:17:03.128700Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=90 sent_bytes=2430 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
2026-05-07T11:17:04.126713Z  INFO mineshare_daemon::runtime: 1-Hz stats peer=192.168.1.106:42045 sent_pkts=71 sent_bytes=1917 recv_pkts=0 recv_bytes=0 injected=0 inject_errs=0 decrypt_errs=0
